Auction_Date,generation_type,Total_Volume_Offered,Total_Volume_Assigned,Total_Number_of_Winners,Weighted_Avg_Price
2021-08-18,Wind,2633583.0,2633583.0,70.0,0.0
2021-08-18,Hydro,497051.0,497051.0,42.0,0.0
2021-08-18,Solar,713550.0,713550.0,82.0,0.0
2021-08-18,Thermal,370482.0,370482.0,21.0,0.0
2021-09-22,Wind,883258.0,883258.0,35.0,0.0
2021-09-22,Solar,727063.0,727063.0,25.0,0.0
2021-09-22,Thermal,355495.0,355495.0,19.0,0.0
2021-09-22,Hydro,389670.0,389670.0,41.0,0.0
2021-10-20,Wind,1879345.0,1879344.0,70.0,0.0
2021-10-20,Hydro,442855.0,442855.0,36.0,0.0
2021-10-20,Solar,890064.0,890064.0,71.0,0.0
2021-10-20,Thermal,549191.0,549191.0,26.0,0.0
2021-11-17,Wind,1882517.0,1882517.0,69.0,0.0
2021-11-17,Hydro,302317.0,302317.0,28.0,0.0
2021-11-17,Thermal,511248.0,511248.0,31.0,0.0
2021-11-17,Solar,930312.0,930312.0,68.0,0.0
2021-12-16,Thermal,481280.0,481280.0,26.0,0.0
2021-12-16,Solar,720020.0,720020.0,61.0,0.0
2021-12-16,Hydro,219866.0,219866.0,36.0,0.0
2021-12-16,Wind,1416364.0,1416364.0,69.0,0.0
2022-01-19,Hydro,235238.0,235238.0,36.0,0.81
2022-01-19,Solar,683821.0,683821.0,61.0,0.75
2022-01-19,Wind,3014051.0,3014051.0,67.0,0.73
2022-01-19,Thermal,514635.0,514635.0,22.0,0.69
2022-02-16,Hydro,312362.0,312362.0,24.0,1.2
2022-02-16,Solar,364798.0,364798.0,39.0,1.22
2022-02-16,Thermal,486605.0,486605.0,33.0,1.06
2022-02-16,Wind,2373011.0,2373011.0,38.0,1.16
2022-03-16,Wind,3771213.0,3771213.0,79.0,0.8
2022-03-16,Hydro,548887.0,548887.0,34.0,0.81
2022-03-16,Solar,308840.0,308840.0,55.0,0.91
2022-03-16,Thermal,502259.0,502259.0,33.0,0.72
2022-04-20,Hydro,598009.0,598009.0,26.0,1.89
2022-04-20,Solar,453208.0,453208.0,42.0,2.05
2022-04-20,Thermal,488293.0,488293.0,29.0,1.75
2022-04-20,Wind,2693894.0,2693894.0,53.0,1.91
2022-05-18,Solar,510228.0,510227.0,55.0,1.93
2022-05-18,Hydro,472619.0,472619.0,25.0,1.86
2022-05-18,Wind,4351784.0,4351784.0,70.0,1.83
2022-05-18,Thermal,466779.0,466779.0,23.0,1.76
2022-06-15,Wind,2949984.0,2949984.0,61.0,1.89
2022-06-15,Hydro,496380.0,496380.0,26.0,1.9
2022-06-15,Solar,752593.0,752593.0,66.0,1.92
2022-06-15,Thermal,493389.0,493389.0,22.0,1.81
2022-07-20,Solar,839756.0,839755.0,52.0,2.19
2022-07-20,Wind,2831102.0,2831102.0,51.0,2.25
2022-07-20,Thermal,480401.0,480401.0,14.0,2.17
2022-07-20,Hydro,575406.0,575406.0,29.0,2.25
2022-08-17,Hydro,530189.0,530189.0,31.0,3.21
2022-08-17,Solar,1305232.0,1305232.0,50.0,3.17
2022-08-17,Thermal,568861.0,568861.0,22.0,3.17
2022-08-17,Wind,1729148.0,1729148.0,44.0,3.21
2022-09-21,Solar,1218440.0,1218439.0,46.0,3.75
2022-09-21,Thermal,427421.0,427421.0,14.0,3.69
2022-09-21,Wind,1423278.0,1423278.0,48.0,3.75
2022-09-21,Hydro,206273.0,206273.0,25.0,3.72
2022-10-19,Wind,1294166.0,1294166.0,40.0,5.33
2022-10-19,Hydro,127549.0,127549.0,16.0,5.48
2022-10-19,Solar,1399163.0,1399163.0,42.0,5.42
2022-10-19,Thermal,352279.0,352279.0,22.0,5.31
2022-11-16,Thermal,400814.0,400814.0,18.0,7.87
2022-11-16,Wind,1471348.0,1471348.0,39.0,7.9
2022-11-16,Hydro,92098.0,92098.0,22.0,7.8
2022-11-16,Solar,1250519.0,1250518.0,34.0,7.91
2022-12-14,Hydro,104535.0,104535.0,29.0,5.86
2022-12-14,Solar,947051.0,947050.0,57.0,5.93
2022-12-14,Thermal,470644.0,470644.0,31.0,5.66
2022-12-14,Wind,1688114.0,1688114.0,66.0,5.9
2023-01-18,Wind,2457169.0,2457169.0,57.0,7.53
2023-01-18,Hydro,130548.0,130548.0,21.0,7.62
2023-01-18,Solar,647282.0,647282.0,52.0,7.55
2023-01-18,Thermal,377259.0,377259.0,23.0,7.37
2023-02-15,Thermal,363813.0,327146.0,19.0,5.06
2023-02-15,Solar,407706.0,336553.0,37.0,4.71
2023-02-15,Hydro,193699.0,190601.0,20.0,5.39
2023-02-15,Wind,3362217.0,3362217.0,80.0,4.85
2023-03-15,Solar,353798.0,353798.0,55.0,5.77
2023-03-15,Hydro,267690.0,267690.0,28.0,5.91
2023-03-15,Wind,3088047.0,3088047.0,64.0,5.94
2023-03-15,Thermal,410706.0,410706.0,33.0,5.6
2023-04-19,Thermal,341460.0,341460.0,27.0,7.19
2023-04-19,Solar,327841.0,327841.0,58.0,7.36
2023-04-19,Hydro,262382.0,262382.0,31.0,7.47
2023-04-19,Wind,3868272.0,3868271.0,88.0,7.44
2023-05-17,Wind,2133529.0,2133529.0,63.0,7.52
2023-05-17,Hydro,176990.0,176990.0,28.0,7.47
2023-05-17,Solar,640099.0,640099.0,54.0,7.55
2023-05-17,Thermal,341609.0,341609.0,15.0,7.42
2023-06-21,Hydro,291386.0,291386.0,32.0,6.11
2023-06-21,Solar,834822.0,834822.0,55.0,5.95
2023-06-21,Thermal,359637.0,359637.0,23.0,6.01
2023-06-21,Wind,3820759.0,3820759.0,94.0,6.02
2023-07-19,Thermal,359779.0,359779.0,28.0,5.8
2023-07-19,Hydro,282504.0,282504.0,31.0,5.83
2023-07-19,Solar,1075419.0,1075419.0,74.0,5.91
2023-07-19,Wind,2401508.0,2401508.0,79.0,5.85
2023-08-23,Wind,2284040.0,2284040.0,79.0,5.2
2023-08-23,Hydro,291759.0,291759.0,26.0,5.32
2023-08-23,Solar,1230072.0,1230072.0,57.0,5.22
2023-08-23,Thermal,386512.0,386512.0,32.0,5.16
2023-09-20,Thermal,304367.0,304367.0,14.0,5.05
2023-09-20,Wind,1288890.0,1288890.0,45.0,5.09
2023-09-20,Hydro,242730.0,242730.0,20.0,5.08
2023-09-20,Solar,1260538.0,1260538.0,52.0,5.09
2023-10-18,Wind,2028356.0,2028356.0,68.0,3.52
2023-10-18,Hydro,147393.0,147393.0,20.0,3.5
2023-10-18,Solar,1244649.0,1244649.0,54.0,3.54
2023-10-18,Thermal,335184.0,335184.0,24.0,3.59
2023-11-15,Wind,1683817.0,1683817.0,70.0,3.66
2023-11-15,Hydro,119971.0,119971.0,18.0,3.56
2023-11-15,Solar,1182068.0,1182068.0,67.0,3.68
2023-11-15,Thermal,335192.0,335192.0,27.0,3.57
2023-12-13,Thermal,314595.0,314595.0,25.0,3.1
2023-12-13,Solar,1017352.0,1017352.0,63.0,3.13
2023-12-13,Wind,1410207.0,1410207.0,69.0,3.2
2023-12-13,Hydro,103341.0,103341.0,18.0,3.24
2024-01-17,Wind,2680119.0,2680119.0,69.0,1.43
2024-01-17,Hydro,126734.0,126734.0,21.0,1.51
2024-01-17,Solar,711080.0,711080.0,53.0,1.58
2024-01-17,Thermal,324306.0,324306.0,28.0,1.48
2024-02-21,Solar,403531.0,403530.0,40.0,0.99
2024-02-21,Thermal,314086.0,314086.0,18.0,0.98
2024-02-21,Wind,3940405.0,3940405.0,72.0,1.0
2024-02-21,Hydro,263835.0,263835.0,20.0,1.02
