Date,ICE NBP,ICE TTF,OTC LEBA TTF,OTC LEBA NBP,EEX TTF,EEX THE,EEX PEG
2019-01-01,778290.0,1318299.0,2347370655.0,546062443.0,88915180.0,0.0,13168074.0
2019-02-01,629780.0,1322450.0,2418962453.0,525889994.0,95769545.0,0.0,13931807.0
2019-03-01,833260.0,1985327.0,2723912634.0,616189691.0,133080893.0,0.0,13731777.0
2019-04-01,863250.0,1862383.0,2315103047.0,470771596.0,121394210.0,0.0,13235290.0
2019-05-01,786350.0,1633237.0,2150714806.0,447768204.0,158361104.0,0.0,19259347.0
2019-06-01,718105.0,1701706.0,2096420463.0,399818599.0,143467283.0,0.0,10355928.0
2019-07-01,814050.0,1974763.0,2267388270.0,394615255.0,177158553.0,0.0,11646359.0
2019-08-01,623080.0,1512292.0,1832790747.0,359560138.0,142130359.0,0.0,12953030.0
2019-09-01,824815.0,2023848.0,2191292143.0,411197370.0,122969454.0,0.0,12561598.0
2019-10-01,662235.0,1757722.0,2026306624.0,427098093.0,127482877.0,0.0,12492104.0
2019-11-01,619760.0,2015845.0,1950682193.0,399553769.0,107313743.0,0.0,15088230.0
2019-12-01,602820.0,2133428.0,1774970258.0,348915729.0,104869682.0,0.0,16776216.0
2020-01-01,813055.0,3738028.0,3154985258.0,492553244.0,157289832.0,50189629.0,18288180.0
2020-02-01,808311.0,2957241.0,2628200397.0,443285155.0,147549216.0,43067581.0,12924069.0
2020-03-01,764170.0,3668254.0,3407341998.0,390323220.0,182380059.0,46750991.0,20114342.0
2020-04-01,597810.0,2549380.0,2231090465.0,396399429.0,131873422.0,38415859.0,15607758.0
2020-05-01,644350.0,2559076.0,2037430893.0,341260466.0,93924707.0,37723109.0,14663553.0
2020-06-01,644350.0,2559076.0,2198485734.0,305511650.0,95660604.0,31418281.0,11591898.0
2020-07-01,580435.0,1973367.0,1651964910.0,274604034.0,88060706.0,32183071.0,15364077.0
2020-08-01,595741.0,2298639.0,1497677321.0,226310758.0,80571561.0,32195882.0,13748100.0
2020-09-01,539694.0,2208316.0,1901418336.0,244364071.0,88697907.0,34146940.0,14747185.0
2020-10-01,614060.0,2488163.0,2191619113.0,293498119.0,102756691.0,43382448.0,15722664.0
2020-11-01,662315.0,2964303.0,2199759776.0,308857257.0,118830971.0,41377404.0,16885938.0
2020-12-01,662315.0,2964303.0,2020266345.0,241572846.0,101462184.0,55433576.0,18997813.0
2021-01-01,717675.0,4033935.0,2158886167.0,298626857.0,126533999.0,67015209.0,20517884.0
2021-02-01,497610.0,2980640.0,2267485588.0,301313135.0,127574474.0,69462062.0,16709896.0
2021-03-01,576040.0,3041177.0,2206968848.0,322307649.0,109033007.0,51089614.0,19522049.0
2021-04-01,462370.0,3174773.0,1903088049.0,233713960.0,106762886.0,57806038.0,22640703.0
2021-05-01,437445.0,3294653.0,1884654092.0,229461119.0,125134770.0,45966458.0,17883481.0
2021-06-01,437445.0,3294653.0,1741698759.0,195993840.0,105036686.0,32803890.0,14281769.0
2021-07-01,418155.0,3869348.0,1603565025.0,154151591.0,109187133.0,39636858.0,14799327.0
2021-08-01,333275.0,3923911.0,1314933360.0,149219387.0,105719281.0,34899138.0,14121828.0
2021-09-01,461815.0,5572506.0,1487362554.0,203804691.0,145834200.0,49955433.0,15278299.0
2021-10-01,342865.0,4849802.0,967793164.0,151858023.0,194660173.0,65917623.0,23477478.0
2021-11-01,257705.0,4172078.0,962597658.0,208251923.0,166414236.0,64845392.0,26261649.0
2021-12-01,325315.0,4601817.0,1111380199.0,219476393.0,242361448.0,101389255.0,28331551.0
2022-01-01,399218.0,4824918.0,1241622321.0,286897894.0,221005656.0,84538852.0,30487864.0
2022-02-01,381845.0,4857141.0,1238242848.0,261850028.0,209920434.0,74595338.0,28010230.0
2022-03-01,504145.0,5500597.0,1265229617.0,292759108.0,355827772.0,135806594.0,49551885.0
2022-04-01,381615.0,2877238.0,854836550.0,233691854.0,238382803.0,56835302.0,44709606.0
2022-05-01,383560.0,3049731.0,913302653.0,241527596.0,271796068.0,43352848.0,2762041.0
2022-06-01,372655.0,3390400.0,870119385.0,205597975.0,243556325.0,60552694.0,42270511.0
2022-07-01,373405.0,3081318.0,732852414.0,132685909.0,302226428.0,90222226.0,51445031.0
2022-08-01,355170.0,3365902.0,762135630.0,190067894.0,275448414.0,66279986.0,47306061.0
2022-09-01,346705.0,2979236.0,832512127.0,253496074.0,294400305.0,53270064.0,49776621.0
2022-10-01,314275.0,2960409.0,801694697.0,252822544.0,266440521.0,168367812.0,50565697.0
2022-11-01,298020.0,3192214.0,,,314226234.0,193906442.0,54350744.0
2022-12-01,300785.0,3075927.0,,,278125677.0,174386202.0,56850855.0
2023-01-01,388679.0,5003420.0,,,318817413.0,177178892.0,92458897.0
2023-02-01,315745.0,4122563.0,,,272649892.0,158364381.0,65745033.0
2023-03-01,424825.0,5615690.0,,,303690351.0,162178687.0,81298872.0
2023-04-01,330720.0,4293425.0,,,238117469.0,128967655.0,35654095.0
2023-05-01,402260.0,5733640.0,,,257369896.0,132140585.0,63617440.0
2023-06-01,454105.0,7737562.0,,,319709054.0,134841474.0,70575308.0
2023-07-01,417845.0,5915959.0,,,291377894.0,133215643.0,59738720.0
2023-08-01,385510.0,6588649.0,,,291617631.0,128170220.0,58760242.0
2023-09-01,441150.0,6192644.0,,,304192719.0,128530708.0,72262355.0
2023-10-01,502200.0,7478762.0,,,341571563.0,125036026.0,73355002.0
2023-11-01,439035.0,6710293.0,,,368575227.0,152833421.0,77039435.0
2023-12-01,389170.0,5780878.0,,,310774364.0,141043956.0,64809428.0
2024-01-01,580105.0,7587109.0,,,350931997.0,144438104.0,72859874.0
2024-02-01,537400.0,7408094.0,,,318268874.0,116707220.0,79737204.0
2024-03-01,623105.0,7398317.0,,,301008943.0,104162637.0,58742763.0
2024-04-01,535975.0,8813336.0,,,304928758.0,110122889.0,56708034.0
2024-05-01,532900.0,7855791.0,,,326037994.0,135859145.0,44459418.0
2024-06-01,579670.0,6637630.0,,,297775820.0,114551285.0,50031282.0
2024-07-01,517065.0,6574473.0,,,285734847.0,121124111.0,39285420.0
2024-08-01,575505,7357388,,,291971503,91157843,42530626
2024-09-01,667770,8069341,,,315553860,110328966,46880927
2024-10-01,667500,8503225,,,333305928,103950970,56077996
2024-11-01,661900,9647346,,,372192244,113415886,66017599
2024-12-01,548160,7172937,,,273255627,101849761,45760737
2025-01-01,815535,10052485,,,356642216,133065690,55481011
2025-02-01,904270,11834305,,,379082041,120568988,48622014
