Year,RES portfolio,Solar,Wind,Wind and Solar,Cumulative PPA capacity
2013,0,0,0.1,0,0.1
2014,0,0,0.2,0,0.3
2015,0,0.1,0.5,0,0.9
2016,0,0.1,1.1,0,2.1
2017,0,0,1.3,0,3.4
2018,0,0,2,0.1,5.5
2019,0,0.9,1.9,0,8.3
2020,0,1.2,1.8,0.1,11.4
2021,0.8,2.4,4.2,1,19.8
2022,0.4,2.9,2.6,1,26.7
2023,0.7,6.5,3.5,0.2,37.6
2024,0.4,7,3.8,2,50.8
2025,0,3.9,1.8,0.2,56.7
